English,Portugues
be,ser
I,eu
you,tu
the,a
a,uma
to,para
it,isto
not,não
that,naquela
and,e
of,do
do,Faz
have,tenho
what,o que
we,nós
in,no
get,pegue
this,isto
my,minha
me,mim
go,ir
oh,Oh
can,posso
no,não
on,sobre
for,para
know,conhecer
just,somente
your,sua
s,S.
all,tudo
so,tão
with,com
he,ele
but,mas
yeah,sim
well,Nós vamos
think,pensar
here,aqui
want,quer
out,Fora
about,cerca de
good,Boa
come,vir
up,acima
say,dizer
now,agora
at,no
one,1
hey,Ei
they,elas
see,Vejo
if,E se
how,Como as
like,gostar
she,ela
look,olhar
make,faço
right,direito
guy,cara
take,leva
let,deixar
really,realmente
okay,Certo
her,dela
uh,Uh
tell,contar
him,dele
why,porque
there,lá
who,quem
time,Tempo
thing,coisa
from,a partir de
will,vai
like,gostar
when,quando
as,Como
because,Porque
some,algum
our,nosso
yes,sim
there,lá
back,de volta
mean,quer dizer
man,cara
little,pequeno
give,dar
his,seu
us,nós
them,eles
need,necessidade
then,então
shall,deve
or,ou
talk,falar
okay,Certo
something,algo
where,Onde
great,excelente
way,caminho
never,nunca
call,ligar
too,também
by,por
sorry,desculpa
over,sobre
love,amar
wait,esperar
more,mais
down,baixa
day,dia
two,dois
people,pessoas
God,Deus
very,muito
off,desligado
work,trabalhar
thank,obrigado
big,grande
try,Experimente
dad,Papai
maybe,pode ser
feel,sentir
friend,amigo
even,até
sure,certo
find,achar
kid,criança
these,esses
boy,Garoto
put,por
please,por favor
happen,acontecer
much,Muito de
stop,Pare
night,noite
bad,mau
into,em
those,Essa
any,algum
right,direito
first,primeiro
leave,sair
year,ano
hear,ouvir
right,direito
ever,sempre
Mr,Sr
again,novamente
use,usar
mom,mãe
may,poderia
hi,Oi
life,vida
nice,legais
new,novo
still,ainda
kind,Gentil
anything,nada
only,só
baby,bebê
than,que
fine,multar
hello,Olá
keep,guarda
girl,garota
help,ajuda
believe,acreditam
woman,mulher
lot,muito
play,Toque
ask,perguntar
start,começar
home,casa
nothing,nada
hmm,Hmm
their,seus
meet,Conheça
huh,Hã
show,exposição
around,por aí
guess,acho
old,velho
hell,inferno
before,antes
always,sempre
three,três
wow,Uau
listen,ouço
thanks,obrigado
minute,minuto
actually,na realidade
eat,comer
place,"Lugar, colocar"
live,viver
away,longe
after,depois de
bring,trazer
every,cada
